,Unnamed: 0,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Payment_Behaviour,Monthly_Balance,Credit_Score,Amount_invested_monthly
29672,17187,18,4,25631.48,2058.9566666666665,3,4,12,3,1401,21,13.0,8.74,8.0,3,203.18,28.104281514888143,33,0,55.674999684705,1,336.5843515148453,2,63.63631546711638
29676,87032,40,4,11330.965,1115.2470833333332,3,7,7,1,233,16,20.0,8.01,4.0,2,1154.16,32.89737756257961,21,0,5.994046458510777,5,253.04806622245155,2,142.482595652371
29679,64727,31,11,57864.6,4559.05,7,7,13,3,595,10,12.0,17.16,4.0,2,539.17,28.271038356899105,25,1,75.02216000848023,5,339.1746439218053,2,331.7081960697145
29680,33063,30,8,110439.56,9224.296666666669,3,7,15,4,1846,18,16.0,6.0,7.0,2,1218.92,26.44091018206354,20,0,348.9438196673788,0,727.0971437092772,2,86.38870329001087
29692,23155,30,10,26509.67,1820.106634885952,8,7,18,2,1197,24,23.0,13.37,4.0,2,1259.9,34.23878079287863,17,1,171.8100062854761,5,365.5305153295057,1,82.10592683239894
29700,52269,33,9,63258.9,5061.575,6,6,11,1,1440,19,8.0,3.78,4.0,1,137.98,35.66002222125938,15,0,28.64388925972857,3,278.7119753799768,0,468.80163536029465
29719,57740,28,4,68900.64,5835.72,7,4,10,4,1176,13,14.0,8.8,6.0,3,1420.04,35.91250541642304,10,0,148.99749491216878,2,549.638220872567,2,144.93628421526424
29722,39284,39,4,60437.28,4948.44,6,4,8,4,302,26,9.0,19.55,8.0,2,2133.53,32.44103396427586,8,0,129.38746282892166,1,496.7559560171047,2,118.70058115397363
29735,15108,26,2,46036.35000000001,3930.362500000001,6,6,19,5,598,53,17.0,14.75,8.0,0,2576.0,25.50980320112329,6,1,146.4016503912428,6,176.53391344622634,1,350.10068616253096
29746,21571,21,9,51506.55,4051.2125,4,6,14,4,737,18,16.0,11.4,4.0,2,2681.39,36.42303790620104,32,1,160.9924107886305,0,420.2383373180011,2,63.890501893368324
29747,19364,20,0,34642.94,3180.911666666667,3,5,7,3,1002,6,23.0,10.84,2.0,2,1079.65,37.154327244902014,19,1,49.685271311903456,0,457.6708273401809,2,50.7350680145824
29749,33732,51,0,65493.78,5196.815,3,7,8,3,687,5,14.0,6.050000000000002,8.0,2,1255.36,32.12425796817204,26,1,149.44989103345318,1,520.1591756278435,2,100.07243333870326
29753,85285,38,9,21039.26,1628.2716666666663,5,4,19,2,950,22,10.0,9.21,6.0,2,1401.54,39.00882015258372,13,1,20.21434136998039,6,311.2086104589841,2,111.4042148377022
29760,77153,44,2,34872.34,2751.028333333333,5,4,6,2,2156,25,15.0,4.7,1.0,2,1375.96,26.280772265732622,24,0,32.56399819657301,2,324.25358245157975,2,178.28525268518058
29788,48638,41,11,53152.0,4157.333333333333,3,6,9,3,1575,29,18.0,8.89,5.0,2,153.23,28.714534799104023,8,1,127.70629782176292,6,414.7268005872195,2,123.30023492435095
29790,93352,31,8,70543.77,5986.6475,5,5,16,4,1320,16,16.0,18.68,7.0,3,1395.86,30.15958433977012,16,1,218.011095886998,1,497.42956949779574,2,133.22408461520627
29791,72326,45,12,42785.88,3671.49,3,4,16,1,1200,4,16.0,2.46,2.0,2,1240.45,37.48429055386682,18,0,25.51917686768486,0,499.82733510057017,2,81.80248803174506
29796,92509,35,7,54525.94,4655.828333333334,3,5,10,4,565,13,9.0,11.02,8.0,2,157.1,29.837707177727346,15,1,131.08037267198603,2,484.1051941670087,2,110.39726649433872
29804,36111,27,11,51627.39,4132.2825,4,7,19,2,718,9,10.0,16.03,11.0,2,2412.6,36.29125448683997,9,1,58.65782243740803,2,469.5849188716645,1,144.98550869092753
29805,39718,24,3,41026.38,3166.865,5,7,9,6,2145,9,19.0,17.24,7.0,2,1241.69,38.39724193345539,5,1,181.8040226597808,3,206.56636241631318,2,198.3161149239061
29808,40139,43,15,12931.56,1348.63,4,4,9,3,1277,19,20.0,18.51,3.0,2,752.86,29.14844311254089,14,1,20.579154708485927,5,352.1357474174279,1,52.14809787408616
29814,37787,34,0,50538.58,4054.548333333333,6,7,9,4,575,14,20.0,9.09,6.0,3,1205.13,33.94035541018683,34,1,164.80747018708982,1,427.1254415365356,2,63.521921609707896
29824,47989,32,0,20168.99,1682.08369645572,5,7,19,7,2036,14,15.0,9.41,9.0,2,2043.24,25.979955855276533,8,1,172.9610453898591,1,285.1735522383857,2,69.70578924936856
29828,45962,34,4,25042.69,2208.890833333333,5,6,7,1,1200,20,8.0,9.37,3.0,1,380.37,25.851245362229623,21,0,18.46866242961897,3,269.16064734811926,0,203.25977355559516
29829,53953,38,6,113085.87,9531.8225,4,4,11,1,0,12,3.0,8.37,4.0,3,240.56,34.775530873416635,22,0,81.1029928492631,6,535.6185341324224,1,616.4607230183148
29838,70419,48,12,58210.38,4681.865,2,5,3,4,1747,9,12.0,10.47,5.0,1,311.9,30.95592933702033,14,0,135.22721165652356,3,208.8238080101701,0,394.13548033330636
29839,84936,44,7,14909.4,1177.45,6,7,24,2,1432,19,10.0,16.49,8.0,2,1992.2,27.72931879535256,2,1,13.069308505074778,6,340.7401909655876,1,53.935500529337695
29859,5533,39,15,20138.945,1940.2454166666664,4,5,6,2,473,9,4.0,4.05,4.0,3,1201.14,30.9305661257469,16,0,23.324354392198234,0,376.8632408969136,0,33.83694637755486
29864,77097,37,10,35701.42,2752.1183333333333,7,4,11,1,1440,14,9.0,7.69,1.0,2,1462.79,30.524929735095267,17,1,18.43133665502912,3,345.6624963400067,2,181.11800033829758
29874,51051,19,10,60759.54,5031.295,5,4,7,4,301,10,14.0,7.76,2.0,3,128.17,32.77881592206053,16,0,155.52552098263652,2,267.94099680143717,0,339.66298221592626
29891,22914,35,11,55644.39,4715.0325,9,8,21,6,351,20,22.0,2.24,10.0,0,1816.21,35.963217119757125,11,1,163.9248327197636,0,465.01006448386187,1,82.56835279637451
29899,81955,32,1,51886.18,4454.848333333333,8,7,7,4,608,24,18.0,15.76,8.0,2,1390.84,31.641057926577744,8,1,155.65671244900733,5,189.49270412305032,2,390.3354167612757
29908,42717,22,11,19803.82,1526.3183333333334,7,7,25,5,1508,32,17.0,3.06,12.0,0,1958.78,30.549982056698184,4,1,73.58321011344655,2,274.24856310488303,2,64.80006011500372
29917,42731,21,13,28699.48,2434.623333333333,4,7,19,2,949,6,17.0,17.86,8.0,2,813.45,27.305114988612708,31,0,37.19278655710208,1,398.7379432464305,2,57.53160352980082
29927,51394,28,15,17642.1,1386.175,2,7,7,3,1646,15,3.0,4.0,1.0,1,548.31,38.85120028141182,14,0,39.5204314733039,5,305.989574614472,2,83.10749391222409
29934,68680,52,15,54426.18,4546.515,4,6,12,4,249,11,13.0,2.74,4.0,2,865.04,27.90113313577632,22,0,137.76746132663558,1,407.9245179613497,2,158.95952071201484
29942,16161,33,1,17914.24,1744.8533333333337,6,6,11,5,1261,26,8.0,11.98,5.0,2,703.21,31.986719254618023,33,1,65.91462582093743,3,315.0771435382132,2,63.49356397418281
29950,23403,19,3,14293.6,1022.1333333333334,6,5,32,6,2091,51,21.0,8.01,11.0,3,4064.01,27.575669850648964,5,1,66.88854173491038,6,207.49744733431703,2,117.82734426410595
29956,66016,45,6,83627.12,6843.926666666666,6,7,9,3,339,5,17.0,2.34,8.0,2,2312.09,28.47013666228835,32,1,189.56363240412892,6,630.4168460690488,2,104.41218819348892
29970,9409,19,8,46640.82,3824.735,3,4,13,3,871,10,17.0,17.810000000000006,2.0,2,816.11,27.406689126856623,22,0,75.53576696978119,4,486.70209512233816,2,100.23563790788064
29971,36947,28,13,29283.91,2380.3258333333333,3,5,8,2,1196,17,4.0,8.33,2.0,1,309.61,25.884710405679087,34,0,36.20844627352849,3,375.56235433464286,1,96.26178272516199
29976,33612,26,4,18115.21,1327.6008333333332,9,8,18,6,245,15,11.0,10.18,11.0,2,1440.76,32.03009403720441,11,1,62.846716397123,5,266.58411203593,1,93.3292549002803
29977,36475,23,5,18671.92,1546.993333333333,2,7,11,4,1587,25,9.0,7.71,4.0,3,438.75,32.85348533515259,14,0,57.15643421522294,5,290.44334579885896,1,97.0995533192514
29979,28915,49,1,98518.68,8050.8899999999985,8,5,18,2,1684,10,15.0,10.35,2.0,2,128.35,30.223588881849395,22,1,153.44355139030228,6,499.9007284687048,2,411.7447201409929
29992,19016,32,7,66614.64,5704.22,6,4,27,7,1421,21,9.0,15.27,8.0,2,1287.55,28.04935670609323,3,0,241.3714473170532,0,522.4666613379218,1,46.583891345025044
30028,84742,31,7,88120.12,7377.343333333332,5,6,15,4,2102,6,12.0,10.48,2.0,2,534.85,25.671829579512963,27,0,164.97877677347282,5,348.71839263245084,2,514.0371639274096
30034,26515,28,11,51950.28,4218.19,7,8,21,7,499,25,13.0,11.71,9.0,2,1723.13,38.22146929384049,10,1,235.1353203377228,2,326.88677767937037,1,119.79690198290683
30046,63966,41,0,19104.75,1669.0625,4,7,6,3,322,28,12.0,14.07,5.0,2,955.6,39.023774172872855,34,1,43.751454331542114,3,239.64444879500945,2,153.5103468734484
30049,73332,28,6,34176.53,2584.0441666666666,6,4,8,1,955,18,10.0,4.95,4.0,3,952.29,26.77204240972201,17,0,15.144490935478732,1,393.93304334675486,0,99.32688238443309
30079,52371,20,12,73140.38,5799.031666666668,3,5,15,1,0,9,12.0,14.56,5.0,2,1056.32,35.65662396498992,34,1,44.9815923192537,5,229.79598342431225,2,595.1255909231007
30082,22482,44,14,104142.56,8433.546666666667,3,5,5,3,1705,20,14.0,15.28,6.0,2,1371.8,36.18740911022528,34,1,257.7386460249556,1,648.0211241336477,2,187.59489650806347
30095,83165,19,9,63730.08,5606.84,3,5,7,2,1910,6,19.0,13.43,7.0,2,1760.01,29.17855204337192,9,1,54.747015014558535,1,656.0077556278512,2,99.92922935759034
30099,75579,44,6,36354.02,3062.501666666666,9,9,32,7,1759,28,16.0,16.86,11.0,2,2654.94,31.227087382843703,3,0,124.90783055983404,6,218.8854564442296,1,252.45687966260297
30104,34767,38,14,95401.47,8171.1225,7,7,20,4,840,28,11.0,19.38,2.0,2,921.31,39.67275561299194,11,1,230.0957676172412,3,304.9619752813727,2,552.0545071013863
30105,32688,18,13,14974.765,1240.8970833333333,4,5,6,4,395,18,13.0,7.53,1.0,3,1292.04,32.907098791781536,34,0,32.17664705501465,5,264.7446562706532,2,117.1684050076655
30106,72799,25,13,40197.28,3415.773333333333,6,5,17,4,979,9,9.0,16.94,7.0,3,124.52,25.608783522518795,11,1,100.091444618419,3,405.00989311008385,2,106.47599560483052
30137,11644,43,5,16069.44,1311.12,3,4,20,2,226,30,10.0,20.57,9.0,2,2550.25,25.073195266678592,34,1,21.9322075409998,5,345.8611780554304,1,53.31861440356984
30147,78861,24,5,29038.58,2382.8816666666667,8,4,12,7,658,18,20.0,15.24,6.0,2,1583.12,38.20119747253696,13,1,110.9417045516498,6,314.52265330813424,1,82.82380880688267
30154,50861,41,7,16259.845,1398.9870833333332,3,7,6,4,941,4,12.0,1.6,5.0,3,1118.03,26.190650821598663,26,0,36.08426905948673,5,334.5694561120714,0,59.24498316177517
30165,20232,31,0,81166.86,6735.905,7,4,7,2,1685,15,14.0,4.5,8.0,2,1353.18,35.13658350843661,3,1,135.10448360249265,1,509.840645428048,2,278.6453709694594
30167,36691,24,9,14906.56,1360.2133333333334,6,6,20,2,2156,39,19.0,7.63,12.0,2,2626.18,24.380675543617592,33,1,20.692546277562823,5,333.10569464364073,1,72.22309241212979
30170,65143,17,14,61211.96,4858.996666666667,7,9,25,7,1454,45,17.0,20.12,7.0,0,3012.94,37.00407928212249,33,1,200.32028372350987,3,401.28791110268344,1,154.29147184047338
30176,67513,23,12,63528.7,5132.058333333333,4,6,9,3,221,21,13.0,7.09,3.0,1,617.89,34.086992120647515,34,0,128.27783377647378,3,480.676607317386,1,174.25139223947357
30179,16158,24,3,69941.9,5766.491666666666,4,6,14,4,335,16,8.0,12.81,8.0,2,375.97,25.182266154400786,34,0,218.56008789280696,1,443.8230579214303,2,164.26602085242942
30180,74267,43,10,10242.055,1100.5045833333334,8,5,17,2,1905,29,10.0,12.6,11.0,2,1698.42,31.28083831049719,8,1,14.928551276236966,5,307.7099598349749,1,77.41194722212148
30186,83976,22,5,11138.425,911.2020833333332,3,7,20,2,476,13,10.0,9.95,1.0,2,878.15,29.883679923542733,18,0,11.125299425252717,5,258.55681008366173,2,111.43809882441887
30192,73210,34,3,49056.09,4254.0075,7,8,19,3,1678,27,20.0,6.29,12.0,0,1336.77,31.43217325700345,30,1,116.69506916913976,5,334.7949038665266,1,263.9107769643336
30194,91569,19,14,41995.64,3416.6366666666668,7,6,7,4,275,16,8.0,19.73,7.0,3,1072.63,33.48867665858704,7,1,87.5439990503073,5,296.6964722613379,2,247.4231953550215
30200,89093,51,7,35572.08,2683.34,2,6,7,4,1470,10,12.0,10.97,3.0,1,1078.33,25.91221061443104,8,0,118.13989562443228,5,186.35530642250828,2,253.8387979530594
30205,72857,29,2,57857.10000000001,4812.425,4,8,30,3,217,27,10.0,11.8,8.0,3,2019.49,37.84665805291532,33,1,85.77311383611881,2,395.82805923059317,1,259.64132693328804
30209,63359,17,3,27621.23,2165.7691666666665,5,6,20,4,1356,18,16.0,9.35,6.0,2,555.67,36.72768252091062,9,1,62.4939254673283,0,340.39023618061884,2,53.692755018719566
30219,88099,30,0,20497.26,1897.105,3,4,18,2,1681,22,14.0,8.03,3.0,2,963.25,32.60183615732562,21,0,27.147551946742663,5,223.77796296521407,2,228.7849850880433
30229,15355,35,6,20915.43,1533.9525,9,8,21,2,226,28,16.0,6.210000000000001,6.0,0,2186.19,37.39641344715693,34,1,34.755718898757216,6,287.8768288447925,1,120.7627022564503
30245,23741,22,11,60460.92,4855.41,4,6,16,1,1440,19,8.0,9.3,8.0,2,1040.47,37.721377559440974,6,1,40.27501432269317,1,612.7878953932378,2,82.47809028406904
30265,58205,20,15,17923.435,1203.6195833333334,7,7,8,1,955,16,13.0,18.42,1.0,2,1300.81,24.87733428548077,17,1,7.847698736792763,5,266.3044423442054,2,136.20981725233514
30268,48177,37,11,15597.31,1456.7758333333334,8,5,9,5,908,15,20.0,5.300000000000002,6.0,2,741.46,32.413052313097936,34,1,45.8044399783401,4,338.522455049288,2,41.350688305705255
30269,62093,39,11,35917.34,3159.111666666666,6,4,8,3,871,29,9.0,5.57,5.0,2,1213.82,27.20982982229136,10,0,70.33046053368393,5,256.69466353212556,2,278.8860426008571
30270,52933,30,15,11126.925,1000.9630497410318,7,6,12,1,1911,13,19.0,8.95,1.0,1,381.82,35.00608362839348,25,0,56.20942055854118,4,269.456783894217,0,107.53887080621011
30273,37728,28,2,38334.61,2966.550833333333,3,4,12,2,1196,13,3.0,4.35,3.0,1,1234.53,27.697009590690087,13,0,41.07297100631426,2,385.4783052768153,0,130.10380705020364
30279,32726,51,3,36918.96,2938.58,3,5,6,2,1904,32,9.0,11.33,9.0,2,1190.58,36.90981716439506,10,0,41.24441838602852,2,428.7689374090101,2,83.84464420496144
30283,37905,27,2,27647.08,2050.9233333333336,7,6,13,5,1239,14,8.0,8.37,7.0,2,159.63,25.01050726895728,29,1,100.74020322259754,3,252.3315813421059,2,122.02054876862995
30289,58013,37,2,18264.11,1621.009166666667,5,5,15,7,1481,23,18.0,16.98,7.0,2,2622.13,35.64561074462446,4,1,90.81220497986294,5,216.35354774030097,2,144.93516394650274
30293,27309,21,6,26697.27,2278.7725,4,7,10,4,445,16,19.0,13.85,9.0,2,942.4,28.9849308027286,21,1,72.56008124516515,1,312.72820382120614,2,92.58896493362873
30300,55491,33,0,18292.21,1477.3508333333332,8,7,25,7,300,49,18.0,20.73,8.0,0,3489.9,34.354297701595286,30,1,103.58768147436204,4,206.86256417858317,2,117.28483768038816
30307,41711,41,5,36647.46,3043.955,3,5,9,4,192,32,16.0,10.74,1.0,1,1471.04,33.86183752982554,8,0,90.1474856682264,4,282.9994104371149,0,211.2486038946588
30313,79679,24,7,23035.15,1901.595833333333,6,7,17,5,1364,22,16.0,19.39,4.0,2,954.44,35.26247575918867,32,1,91.77461106949762,3,222.79591463998543,2,145.5890576238503
30323,38767,45,0,39225.32,3265.776666666666,8,5,23,2,1909,19,19.0,13.2,12.0,0,2057.89,31.08945490338209,33,1,37.03676632658654,5,377.17535323583456,1,202.3655471042456
30325,70910,34,10,57744.68,4824.056666666666,4,6,9,4,361,8,12.0,3.29,6.0,1,674.36,30.74939416161416,16,0,189.7556355746508,1,364.25988997081566,2,178.3901411212003
30344,43080,41,7,99858.15,8310.5125,2,7,8,4,14,22,7.0,9.43,1.0,3,1392.72,33.289042071462326,15,0,190.6142563294377,4,533.6116803854934,1,386.82531328506894
30351,53262,21,9,36463.7,2845.6416666666664,4,7,3,1,1690,6,5.0,4.55,1.0,3,1051.13,29.9771350906482,10,0,19.159720761716454,0,453.9448328275357,0,51.45961307741453
30355,31601,17,15,18207.57,1369.2975,5,7,24,5,642,19,18.0,9.7,9.0,2,2310.54,37.84290736656085,30,1,68.3667622704828,4,244.08637506702632,1,104.47661266249085
30357,62832,38,7,32125.54,2559.1283333333336,7,9,23,3,973,15,16.0,8.07,8.0,2,2557.14,25.95561703906296,29,1,59.33092218404161,0,385.5135396236194,1,51.06837152567234
30368,64030,33,15,71203.4,6132.616666666666,7,6,20,5,1603,20,16.0,6.26,9.0,2,1254.91,37.77774341394363,7,1,235.51546864754783,4,398.43167312073507,1,259.3145248983837
30376,41705,40,5,36647.46,3043.955,3,5,9,4,192,29,18.0,10.74,1.0,1,1471.04,33.13573417583486,8,0,90.1474856682264,5,323.02296389190974,0,181.22505043986388
30384,25530,37,9,25040.59,2278.715833333333,4,4,18,3,527,12,6.0,1.97,1.0,2,715.69,33.489424920604485,25,0,53.572750991129006,2,380.622596649227,2,53.67623569297734
30391,89358,37,0,40276.27,3381.355833333333,5,4,12,3,1648,28,11.0,9.02,9.0,1,786.37,38.63272403182791,34,0,54.11635685995331,2,418.66870490655214,2,125.35052156682791
30413,93885,33,12,35286.5,2929.541666666666,6,9,24,2,1433,34,22.0,18.69,12.0,0,1609.58,36.57577940567444,34,0,34.74516847621501,3,315.5535066691035,1,212.65549152134813
30426,54577,41,10,106602.63,8924.5525,7,5,12,2,479,25,22.0,11.33,4.0,2,962.51,37.05750468443522,24,0,125.9142626730801,4,198.4950573730665,2,848.0459299538533
30452,54499,43,10,24688.88,2256.4066666666668,8,4,9,1,1690,23,15.0,11.74,3.0,2,1014.83,27.31960714806793,34,0,10.869316856380284,0,397.8189133747522,2,56.952436435534175
30454,44662,26,14,35913.64,3015.8033333333333,7,6,32,2,1195,25,15.0,11.4,8.0,3,1898.0,33.774891492240386,7,1,33.91419525435881,3,466.0445232664293,1,71.62161481254525
30457,11626,20,4,61600.83,5313.4025,7,7,16,3,924,15,12.0,18.46,4.0,2,2062.09,32.69213119534133,10,1,125.50502172550163,0,531.7176332716698,2,114.11759500282848
30469,26598,34,0,19197.3,1640.775,8,8,22,7,430,44,22.0,16.65,8.0,0,3826.75,35.81527594738333,12,1,71.39274508386833,4,293.01961819683817,1,79.66513671929344
30487,21387,45,13,19379.71,1796.9758333333332,8,5,19,4,1570,17,15.0,12.23,6.0,2,2010.92,27.11407062131061,5,1,42.10086855295948,2,305.8074468980966,1,91.7892678822772
30496,57558,34,3,71391.78,5902.315,8,7,11,4,1181,23,19.0,13.35,7.0,2,1305.41,36.766816153794025,25,1,191.559201865086,1,499.7447073957263,2,148.92759073918776
30504,62827,27,2,24390.29,1762.5241666666668,3,6,3,3,1389,23,15.0,4.7,3.0,1,523.63,37.36538668371864,26,0,37.760895928868734,5,226.17922196727616,1,202.3122987705218
30510,8981,35,14,40602.72,3177.56,4,6,14,3,1251,11,11.0,8.08,7.0,2,1314.56,38.12383081955825,24,0,96.20398492235977,2,349.7251119045665,2,131.8269031730738
30512,90623,51,0,97787.46,8438.954999999998,6,5,12,3,505,13,11.0,9.17,5.0,2,1122.78,27.880061760383363,34,0,143.5764601723223,0,801.3216217863741,1,138.9974180413035
30523,29606,41,12,73451.94,6309.995,5,7,9,3,1460,28,20.0,9.13,2.0,3,965.51,34.524532443919675,16,0,114.24056515783268,1,639.5104657326277,2,127.24846910953954
30528,26875,44,12,66522.06,5409.505,8,4,7,3,2067,26,13.0,15.95,5.0,2,561.13,31.95423240841567,7,1,117.08800475134936,2,446.6724920522418,2,237.19000319640884
30535,91345,42,10,20851.59,1701.6325,4,6,18,1,955,22,13.0,14.46,5.0,2,1195.06,34.70989547888269,8,1,9.299161964160938,4,315.3195112491409,2,125.5445767866982
30549,88861,29,4,17538.28,1307.5233333333333,8,5,32,7,1256,51,23.0,16.49,8.0,0,3649.96,31.016657856847143,28,1,95.2176446724168,5,175.28716316150746,1,150.24752549940908
30552,71492,35,9,35076.16,3166.013333333334,2,5,7,1,1690,15,6.0,5.97,3.0,3,487.26,28.57697534314656,10,0,17.806807688694942,5,231.17172675271385,2,357.6227988919246
30553,35856,38,4,48254.04,4215.17,3,6,16,3,1519,23,10.0,16.92,6.0,3,210.78,32.14844895694661,17,0,72.33336183783064,4,214.62902656153412,2,414.5546116006352
30564,93771,45,1,34980.21,2616.0175,5,7,18,4,907,30,8.0,7.97,3.0,2,937.32,30.46678209295264,19,0,66.79673202036416,5,217.5828012861904,2,267.22221669344543
30571,75810,22,1,20655.07,1726.2558333333334,7,5,9,2,1431,19,13.0,11.88,10.0,2,1027.83,35.00814242506109,11,1,27.51648199970192,5,233.8773026114516,2,201.2317987221798
30579,55649,36,15,93890.61,7717.2175,7,6,5,4,1791,12,12.0,7.06,8.0,2,877.12,38.35193047191668,2,1,233.5846628617247,5,495.7346264766617,2,332.40246066161365
30580,46397,24,6,20324.355,1703.69625,3,4,7,3,1280,14,12.0,4.8100000000000005,4.0,1,1396.07,36.06778488334061,26,0,36.93300309734522,3,363.46427596503736,2,39.97234593761742
30582,76992,30,15,117801.12,9988.76,5,4,6,6,1625,9,13.0,11.4,4.0,2,1280.57,27.237573385990096,6,1,326.20668114048146,1,540.7038198941706,2,381.9654989653481
30592,33341,31,12,18317.26,1664.563906756758,6,9,15,3,1363,36,21.0,3.26,8.0,0,1611.27,33.658185642172214,31,1,92.21290262642708,3,258.6438359546298,2,159.16152132885153
30599,82642,24,11,28195.29,2044.2233990811048,3,4,11,3,24,10,5.0,4.04,8.0,1,1281.29,32.17524408318599,17,0,148.31726790101834,1,379.2622717988725,0,48.26531121900464
30603,9113,37,7,118111.08,10072.59,2,6,7,3,745,27,3.0,4.55,1.0,1,390.11,32.30916821677667,34,0,219.9504576171572,1,830.9190675795593,1,206.38947480328355
30613,85606,39,10,35474.91,3203.2425000000007,7,7,10,3,571,26,13.0,13.02,5.0,2,1199.05,31.93734676187286,13,1,59.87139780944678,3,267.47046752295415,2,262.98238466759915
30623,66204,23,3,15298.94,1078.9116666666666,5,7,5,3,1776,15,15.0,9.43,1.0,2,350.9,40.03510333771396,10,1,35.32320794611219,5,273.5851511881364,2,88.98280753241804
30673,41183,43,4,40063.22,3305.601666666667,2,5,11,3,1857,15,10.0,11.37,2.0,3,883.31,33.54905055967273,21,0,90.56267750769037,6,384.22669293360906,0,105.77079622536729
30697,30576,45,13,55062.87,4801.5725,9,8,18,6,919,22,15.0,3.01,12.0,0,1569.55,32.64958920864933,31,0,142.86111673245702,3,419.21150390581056,1,188.08462936173248
30726,33651,47,6,34962.32,2781.526666666666,3,6,9,3,1969,13,7.0,1.49,1.0,1,1470.65,38.12783187233745,8,0,74.32387166694687,5,204.93543991007,2,288.8933550896498
30729,43681,38,15,36238.86,3095.905,8,7,11,3,1341,11,16.0,7.18,9.0,1,1166.64,27.96311307195611,15,0,60.77391435762571,1,440.4985284243679,0,58.31805721800642
30736,88746,23,13,19493.65,1809.470833333333,7,6,24,4,1415,38,18.0,6.78,11.0,0,1878.03,38.764314191848,13,1,56.39704749050957,5,230.5047327706298,1,184.04530307219397
30739,72450,40,15,49465.98,4256.165,4,4,16,7,1087,22,10.0,12.69,8.0,2,1694.28,32.48638768011347,7,1,252.95609499881385,2,275.58081498139154,1,157.0795900197946
30748,72468,39,13,14482.5,1363.875,7,7,19,4,557,26,13.0,9.27,12.0,2,1856.22,28.832039528642408,11,1,27.219132886601766,5,295.17608866921705,1,103.99227844418121
30759,81310,21,7,70142.36,5817.196666666668,9,8,19,7,663,30,16.0,4.12,10.0,0,2242.31,32.70596818972728,4,1,382.3745533483969,6,346.35354441035685,1,92.99156890791294
30769,72756,35,9,19303.21,1437.6008333333332,6,5,28,7,270,13,18.0,2.4399999999999995,11.0,2,2682.53,37.41280277062421,34,1,107.54692577402,4,269.2518647990768,1,46.961292760236475
30775,85966,41,3,61807.41,5418.6175,4,5,18,4,921,30,15.0,12.62,5.0,2,668.14,27.67731634860064,8,1,157.2174256750653,6,480.93760566707084,2,153.70671865786397
30779,15544,28,8,20685.51,1779.7924999999998,6,5,27,4,1563,41,19.0,19.7,6.0,0,1256.46,28.327493219160427,11,1,44.049700917701024,5,195.715773167936,1,228.21377591436303
30785,31013,30,4,125468.44,10445.703333333331,4,4,10,4,1488,23,16.0,13.45,4.0,2,1136.85,33.21281819966229,11,1,338.09240873665965,3,679.0236676004101,2,297.4542569962636
30789,75693,41,5,55100.76,4763.730000000001,6,6,20,2,1193,8,11.0,17.14,9.0,3,916.34,29.307148276343035,33,0,60.01375335458706,0,591.9855874557791,2,64.37365918963388
30790,48828,25,2,58162.12,4942.843333333333,8,4,13,2,721,15,19.0,1.39,4.0,3,1301.9,24.843048421298928,21,0,60.10999657855808,2,422.92993757989314,0,271.2443991748822
30800,44813,44,2,82920.2,7201.016666666666,4,7,7,3,2096,7,8.0,2.04,3.0,1,1197.23,26.18654546943857,20,0,163.04659106969498,0,672.2314058938158,0,124.82366970315577
30809,80166,31,6,35746.07,2979.839166666666,2,5,10,4,2092,28,11.0,10.04,4.0,1,553.5,33.56192466634084,9,0,59.88078006830594,1,419.9812418324762,2,68.12189476588453
30815,71924,43,0,18598.17,1575.8475,8,7,16,2,2150,17,16.0,12.21,8.0,2,667.98,38.121175934335135,13,1,18.896396334305955,4,363.33565737845316,2,55.352696287240924
30818,70651,51,2,34593.98,3060.831666666667,4,4,12,2,1195,23,11.0,10.47,4.0,2,1453.07,35.01291722405427,22,0,43.33549072815099,1,415.48487737042734,2,97.2627985680885
30819,63812,17,14,66289.36,5433.113333333334,4,5,15,2,1910,14,15.0,7.27,11.0,2,713.33,40.196737622925575,8,1,61.32521298913761,0,617.4678440641268,2,104.5182762800692
30821,27814,27,10,42098.93,3220.244166666667,4,6,3,3,1281,23,7.0,11.73,5.0,1,936.45,39.09369724329723,11,0,63.69184782525466,3,421.20324612192894,1,107.12932271948307
30824,55719,34,14,34435.82,2740.651666666666,6,4,14,1,0,16,13.0,17.81,7.0,2,360.11,39.34963818892325,2,1,27.827486038488328,1,404.1810729013752,2,92.05660772680315
30830,68746,27,14,69289.4,5817.116666666666,8,4,15,2,1195,11,10.0,16.79,9.0,2,2424.83,28.53581765038572,10,1,59.36513754135091,1,693.5580591381126,2,78.78846998720309
30835,78879,37,3,16862.88,1273.24,8,8,22,7,1800,52,19.0,19.07,12.0,2,1377.71,34.171175196170395,9,1,81.80403665293096,5,177.89875766304849,1,157.6212056840206
30855,22593,18,5,14755.09,1072.5908333333334,6,6,17,2,724,50,18.0,15.65,11.0,0,2460.77,36.210383780319866,32,1,14.803843148914517,5,306.77192394835936,1,75.68331623605947
